date,distributor_id,product,as_is_purchase_litres,as_is_purchase_spend_eur,as_is_selected_cover_days,as_is_reason,operational_purchase_litres,operational_purchase_spend_eur,operational_selected_cover_days,operational_reason,combined_purchase_litres,combined_purchase_spend_eur,combined_selected_cover_days,combined_operational_required_litres,combined_discretionary_litres,combined_internal_signal_score,combined_external_signal_score,combined_signal_score,combined_signal_confidence,combined_expected_advantage_eur,combined_patterns_used,combined_external_drivers,combined_external_themes,combined_caveats,combined_reason,combined_minus_operational_litres,external_changed_operational_decision,combined_action,short_reason
2026-06-19,368318,Verde,0.0,0.0,1.0,Operational minimum required to cover demand until the next observed quotation,0.0,0.0,12.0,Operational minimum selected,0.0,0.0,5.0,0.0,0.0,-0.39534883720930225,-0.918183284715107,-0.6197469897454269,0.6819030115819811,0.0,P01 falling | P02 streak 3 | P07 price percentile 0.00,Crude | Currency | Geopolitics,HORMUZ_RECOVERY,"Pattern confidence is detection confidence, not validated predictive probability.",Operational minimum: objective improvement is below action threshold,0.0,False,NO PURCHASE,"External intelligence did not materially change the operational recommendation. Main external drivers: Crude, Currency, Geopolitics."
2026-06-19,368319,Diesel,0.0,0.0,1.0,Operational minimum required to cover demand until the next observed quotation,0.0,0.0,14.0,Operational minimum selected,0.0,0.0,14.0,0.0,0.0,-0.39534883720930225,-0.9350422489687662,-0.6100694698883513,0.6484707609712395,0.0,P01 falling | P02 streak 3 | P07 price percentile 0.00,Crude | Currency | Geopolitics,HORMUZ_RECOVERY,"Pattern confidence is detection confidence, not validated predictive probability.",Operational minimum: objective improvement is below action threshold,0.0,False,NO PURCHASE,"External intelligence did not materially change the operational recommendation. Main external drivers: Crude, Currency, Geopolitics."
2026-06-19,368319,Verde,0.0,0.0,1.0,Operational minimum required to cover demand until the next observed quotation,0.0,0.0,14.0,Operational minimum selected,0.0,0.0,14.0,0.0,0.0,-0.39534883720930225,-0.918183284715107,-0.6197469897454269,0.6819030115819811,0.0,P01 falling | P02 streak 3 | P07 price percentile 0.00,Crude | Currency | Geopolitics,HORMUZ_RECOVERY,"Pattern confidence is detection confidence, not validated predictive probability.",Operational minimum: objective improvement is below action threshold,0.0,False,NO PURCHASE,"External intelligence did not materially change the operational recommendation. Main external drivers: Crude, Currency, Geopolitics."
2026-06-19,368320,Diesel,0.0,0.0,1.0,Operational minimum required to cover demand until the next observed quotation,0.0,0.0,14.0,Operational minimum selected,0.0,0.0,14.0,0.0,0.0,-0.39534883720930225,-0.9350422489687662,-0.6100694698883513,0.6484707609712395,0.0,P01 falling | P02 streak 3 | P07 price percentile 0.00,Crude | Currency | Geopolitics,HORMUZ_RECOVERY,"Pattern confidence is detection confidence, not validated predictive probability.",Operational minimum: objective improvement is below action threshold,0.0,False,NO PURCHASE,"External intelligence did not materially change the operational recommendation. Main external drivers: Crude, Currency, Geopolitics."
2026-06-19,368320,Verde,0.0,0.0,1.0,Operational minimum required to cover demand until the next observed quotation,0.0,0.0,14.0,Operational minimum selected,0.0,0.0,14.0,0.0,0.0,-0.39534883720930225,-0.918183284715107,-0.6197469897454269,0.6819030115819811,0.0,P01 falling | P02 streak 3 | P07 price percentile 0.00,Crude | Currency | Geopolitics,HORMUZ_RECOVERY,"Pattern confidence is detection confidence, not validated predictive probability.",Operational minimum: objective improvement is below action threshold,0.0,False,NO PURCHASE,"External intelligence did not materially change the operational recommendation. Main external drivers: Crude, Currency, Geopolitics."
2026-06-19,368321,Diesel,0.0,0.0,1.0,Operational minimum required to cover demand until the next observed quotation,0.0,0.0,14.0,Operational minimum selected,0.0,0.0,14.0,0.0,0.0,-0.39534883720930225,-0.9350422489687662,-0.6100694698883513,0.6484707609712395,0.0,P01 falling | P02 streak 3 | P07 price percentile 0.00,Crude | Currency | Geopolitics,HORMUZ_RECOVERY,"Pattern confidence is detection confidence, not validated predictive probability.",Operational minimum: objective improvement is below action threshold,0.0,False,NO PURCHASE,"External intelligence did not materially change the operational recommendation. Main external drivers: Crude, Currency, Geopolitics."
2026-06-19,368321,Verde,0.0,0.0,1.0,Operational minimum required to cover demand until the next observed quotation,0.0,0.0,14.0,Operational minimum selected,0.0,0.0,14.0,0.0,0.0,-0.39534883720930225,-0.918183284715107,-0.6197469897454269,0.6819030115819811,0.0,P01 falling | P02 streak 3 | P07 price percentile 0.00,Crude | Currency | Geopolitics,HORMUZ_RECOVERY,"Pattern confidence is detection confidence, not validated predictive probability.",Operational minimum: objective improvement is below action threshold,0.0,False,NO PURCHASE,"External intelligence did not materially change the operational recommendation. Main external drivers: Crude, Currency, Geopolitics."
2026-06-19,368322,Diesel,0.0,0.0,1.0,Operational minimum required to cover demand until the next observed quotation,0.0,0.0,14.0,Operational minimum selected,0.0,0.0,14.0,0.0,0.0,-0.39534883720930225,-0.9350422489687662,-0.6100694698883513,0.6484707609712395,0.0,P01 falling | P02 streak 3 | P07 price percentile 0.00,Crude | Currency | Geopolitics,HORMUZ_RECOVERY,"Pattern confidence is detection confidence, not validated predictive probability.",Operational minimum: objective improvement is below action threshold,0.0,False,NO PURCHASE,"External intelligence did not materially change the operational recommendation. Main external drivers: Crude, Currency, Geopolitics."
2026-06-19,368322,Verde,0.0,0.0,1.0,Operational minimum required to cover demand until the next observed quotation,0.0,0.0,14.0,Operational minimum selected,0.0,0.0,14.0,0.0,0.0,-0.39534883720930225,-0.918183284715107,-0.6197469897454269,0.6819030115819811,0.0,P01 falling | P02 streak 3 | P07 price percentile 0.00,Crude | Currency | Geopolitics,HORMUZ_RECOVERY,"Pattern confidence is detection confidence, not validated predictive probability.",Operational minimum: objective improvement is below action threshold,0.0,False,NO PURCHASE,"External intelligence did not materially change the operational recommendation. Main external drivers: Crude, Currency, Geopolitics."
2026-06-20,368318,Diesel,0.0,0.0,3.0,Operational minimum required to cover demand until the next observed quotation,0.0,0.0,11.0,Operational minimum selected,0.0,0.0,5.0,0.0,0.0,-0.3673036093418258,-0.8171703117258161,-0.5507594853854677,0.686849137250613,0.0,P01 falling | P02 streak 4 | P04 multi-day quotation | P07 price percentile 0.00,Crude | Currency | Geopolitics | Supply and demand,HORMUZ_RECOVERY,"Pattern confidence is detection confidence, not validated predictive probability.",Operational minimum: objective improvement is below action threshold,0.0,False,NO PURCHASE,"External intelligence did not materially change the operational recommendation. Main external drivers: Crude, Currency, Geopolitics, Supply and demand."
2026-06-20,368318,Verde,0.0,0.0,3.0,Operational minimum required to cover demand until the next observed quotation,0.0,0.0,11.0,Operational minimum selected,0.0,0.0,4.0,0.0,0.0,-0.3673036093418258,-0.8127016578978277,-0.5604808836371872,0.7166039724427183,0.0,P01 falling | P02 streak 4 | P04 multi-day quotation | P07 price percentile 0.00,Crude | Currency | Geopolitics | Supply and demand,HORMUZ_RECOVERY,"Pattern confidence is detection confidence, not validated predictive probability.",Operational minimum: objective improvement is below action threshold,0.0,False,NO PURCHASE,"External intelligence did not materially change the operational recommendation. Main external drivers: Crude, Currency, Geopolitics, Supply and demand."
2026-06-20,368319,Diesel,0.0,0.0,3.0,Operational minimum required to cover demand until the next observed quotation,0.0,0.0,14.0,Operational minimum selected,0.0,0.0,14.0,0.0,0.0,-0.3673036093418258,-0.8171703117258161,-0.5507594853854677,0.686849137250613,0.0,P01 falling | P02 streak 4 | P04 multi-day quotation | P07 price percentile 0.00,Crude | Currency | Geopolitics | Supply and demand,HORMUZ_RECOVERY,"Pattern confidence is detection confidence, not validated predictive probability.",Operational minimum: objective improvement is below action threshold,0.0,False,NO PURCHASE,"External intelligence did not materially change the operational recommendation. Main external drivers: Crude, Currency, Geopolitics, Supply and demand."
2026-06-20,368319,Verde,0.0,0.0,3.0,Operational minimum required to cover demand until the next observed quotation,0.0,0.0,13.0,Operational minimum selected,0.0,0.0,13.0,0.0,0.0,-0.3673036093418258,-0.8127016578978277,-0.5604808836371872,0.7166039724427183,0.0,P01 falling | P02 streak 4 | P04 multi-day quotation | P07 price percentile 0.00,Crude | Currency | Geopolitics | Supply and demand,HORMUZ_RECOVERY,"Pattern confidence is detection confidence, not validated predictive probability.",Operational minimum: objective improvement is below action threshold,0.0,False,NO PURCHASE,"External intelligence did not materially change the operational recommendation. Main external drivers: Crude, Currency, Geopolitics, Supply and demand."
2026-06-20,368320,Diesel,0.0,0.0,3.0,Operational minimum required to cover demand until the next observed quotation,0.0,0.0,14.0,Operational minimum selected,0.0,0.0,14.0,0.0,0.0,-0.3673036093418258,-0.8171703117258161,-0.5507594853854677,0.686849137250613,0.0,P01 falling | P02 streak 4 | P04 multi-day quotation | P07 price percentile 0.00,Crude | Currency | Geopolitics | Supply and demand,HORMUZ_RECOVERY,"Pattern confidence is detection confidence, not validated predictive probability.",Operational minimum: objective improvement is below action threshold,0.0,False,NO PURCHASE,"External intelligence did not materially change the operational recommendation. Main external drivers: Crude, Currency, Geopolitics, Supply and demand."
